,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
1/1/18,9,37,145,44,27,13,12,7
1/2/18,13,45,119,41,27,14,19,10
1/3/18,13,44,106,40,36,14,20,11
1/4/18,15,44,103,45,30,10,15,12
1/5/18,10,45,107,41,26,13,21,10
1/6/18,11,43,135,43,26,12,15,10
1/7/18,15,38,118,37,29,15,13,10
1/8/18,10,37,103,44,28,15,16,11
1/9/18,7,41,103,43,24,13,18,11
1/10/18,7,39,109,48,29,13,21,13
1/11/18,15,41,105,50,31,13,22,19
1/12/18,15,39,119,48,30,13,17,16
1/13/18,15,38,153,53,25,14,13,14
1/14/18,13,39,155,47,31,13,13,12
1/15/18,13,41,141,45,27,14,9,14
1/16/18,11,45,108,46,27,13,16,14
1/17/18,15,42,103,45,26,10,17,16
1/18/18,13,48,102,48,29,10,16,14
1/19/18,10,44,114,50,29,11,22,9
1/20/18,9,36,165,53,32,12,15,10
1/21/18,9,34,163,47,26,16,11,8
1/22/18,11,37,128,56,23,15,18,11
1/23/18,14,41,110,50,24,13,17,12
1/24/18,14,45,104,51,21,11,14,10
1/25/18,10,38,106,51,20,13,14,12
1/26/18,11,38,131,54,23,13,16,14
1/27/18,16,39,160,50,25,13,16,7
1/28/18,16,37,154,37,25,16,11,6
1/29/18,16,42,134,50,27,16,16,11
1/30/18,15,39,117,49,23,18,14,10
1/31/18,14,38,117,50,25,18,24,11
2/1/18,18,46,120,51,27,16,19,11
2/2/18,18,41,113,51,25,13,15,12
2/3/18,15,40,169,50,24,12,16,9
2/4/18,17,39,181,31,27,9,16,8
2/5/18,18,42,134,45,27,11,19,12
2/6/18,17,42,119,46,28,13,16,13
2/7/18,21,42,134,49,28,14,16,12
2/8/18,19,43,138,45,27,11,19,9
2/9/18,18,42,135,46,30,9,17,9
2/10/18,16,42,178,53,30,11,15,8
2/11/18,15,39,172,41,27,9,16,9
2/12/18,14,43,145,51,30,10,20,9
2/13/18,17,33,134,48,21,12,20,7
2/14/18,14,37,127,49,26,11,23,9
2/15/18,12,40,119,55,24,12,20,10
2/16/18,12,38,138,47,24,12,17,9
2/17/18,10,36,183,54,25,13,15,8
2/18/18,9,35,185,41,25,12,14,7
2/19/18,9,35,159,36,30,14,17,8
2/20/18,8,41,123,49,28,14,15,10
2/21/18,14,40,121,47,35,12,19,9
2/22/18,12,40,115,43,35,13,17,8
2/23/18,9,39,126,50,30,15,18,15
2/24/18,9,36,156,53,29,16,14,11
2/25/18,9,29,161,34,25,14,11,7
2/26/18,8,33,131,48,27,12,13,8
2/27/18,9,35,120,42,27,13,14,8
2/28/18,12,38,126,47,33,15,17,11
3/1/18,10,39,108,46,30,15,14,9
3/2/18,8,41,123,46,27,16,15,7
3/3/18,12,41,136,48,28,15,12,9
3/4/18,10,39,160,37,26,15,11,8
3/5/18,13,42,143,51,32,15,15,12
3/6/18,14,39,125,48,33,13,13,11
3/7/18,11,40,123,42,33,12,17,10
3/8/18,10,42,122,48,31,13,16,8
3/9/18,12,41,127,51,32,13,21,10
3/10/18,15,32,150,54,34,12,18,7
3/11/18,16,30,185,40,35,15,16,8
3/12/18,12,38,144,58,35,17,18,10
3/13/18,10,36,111,56,31,13,19,10
3/14/18,11,44,121,56,37,14,18,8
3/15/18,10,38,118,55,28,14,19,8
3/16/18,13,40,134,56,32,17,13,13
3/17/18,15,38,166,56,33,17,14,9
3/18/18,14,36,172,46,32,15,9,13
3/19/18,15,40,132,60,29,13,13,10
3/20/18,10,34,106,43,24,11,11,7
3/21/18,8,34,117,49,24,16,16,10
3/22/18,7,34,108,41,24,14,12,6
3/23/18,7,37,121,50,21,16,13,8
3/24/18,10,32,157,45,19,14,11,8
3/25/18,8,36,180,46,29,16,12,9
3/26/18,9,38,143,59,34,16,16,12
3/27/18,9,40,136,61,30,14,16,15
3/28/18,10,43,145,56,31,14,20,19
3/29/18,11,45,140,61,30,13,21,17
3/30/18,9,45,171,60,28,9,19,14
3/31/18,10,42,185,62,33,9,14,17
4/1/18,7,39,183,51,34,15,16,14
4/2/18,8,41,161,61,33,14,18,14
4/3/18,11,38,136,60,31,18,20,13
4/4/18,8,41,135,61,30,19,21,10
4/5/18,7,32,107,47,21,15,15,9
4/6/18,10,39,140,55,30,19,17,14
4/7/18,9,35,163,57,27,21,15,13
4/8/18,7,35,193,56,29,21,17,9
4/9/18,10,45,166,56,32,20,22,12
4/10/18,10,45,132,60,28,17,24,15
4/11/18,12,43,132,53,32,16,19,13
4/12/18,10,44,131,57,32,21,22,12
4/13/18,10,41,161,58,34,22,23,14
4/14/18,10,37,205,60,29,24,24,12
4/15/18,9,39,188,49,29,20,18,9
4/16/18,8,35,136,51,30,22,23,8
4/17/18,8,38,127,51,31,20,20,11
4/18/18,11,38,130,58,35,15,23,11
4/19/18,13,41,137,59,36,18,19,12
4/20/18,10,43,164,55,34,19,21,11
4/21/18,10,40,219,59,30,18,19,14
4/22/18,10,35,247,55,28,16,18,13
4/23/18,11,35,190,57,38,18,21,12
4/24/18,12,38,144,46,36,19,21,15
4/25/18,15,40,157,51,34,21,21,13
4/26/18,11,41,135,56,30,19,20,9
4/27/18,10,39,164,61,30,20,24,14
4/28/18,13,35,200,64,29,21,18,10
4/29/18,11,35,194,58,33,22,23,14
4/30/18,10,37,159,63,35,22,20,13
5/1/18,9,38,143,60,28,20,19,11
5/2/18,8,39,150,60,29,19,18,13
5/3/18,9,43,160,59,28,16,21,11
5/4/18,12,42,182,59,27,16,18,15
5/5/18,11,44,206,67,28,14,17,13
5/6/18,9,37,199,60,27,17,15,11
5/7/18,12,38,164,63,31,17,18,14
5/8/18,11,40,154,52,29,17,21,10
5/9/18,9,40,155,53,32,18,18,13
5/10/18,6,40,145,52,24,17,22,11
5/11/18,6,38,166,57,26,22,22,10
5/12/18,7,41,211,63,23,18,21,10
5/13/18,8,37,183,59,34,15,15,6
5/14/18,9,46,159,60,34,16,17,13
5/15/18,10,46,148,54,30,14,24,9
5/16/18,9,44,146,57,28,16,21,11
5/17/18,11,44,153,61,31,13,22,13
5/18/18,10,41,158,64,32,15,22,13
5/19/18,10,35,189,60,33,12,15,13
5/20/18,10,31,199,57,35,14,15,11
5/21/18,10,34,145,59,31,17,17,12
5/22/18,8,40,144,62,30,16,15,14
5/23/18,11,42,147,63,29,21,17,9
5/24/18,15,45,156,66,29,24,19,12
5/25/18,11,39,189,62,26,21,19,15
5/26/18,11,34,227,68,20,18,16,10
5/27/18,10,34,228,64,25,14,15,12
5/28/18,12,36,253,53,27,15,12,8
5/29/18,13,42,166,56,26,13,15,11
5/30/18,9,41,142,55,29,16,18,10
5/31/18,8,39,141,63,29,14,21,9
6/1/18,9,42,165,66,34,14,23,10
6/2/18,9,40,212,70,26,14,19,7
6/3/18,7,36,221,59,32,14,17,7
6/4/18,8,41,156,66,35,11,22,7
6/5/18,8,46,145,62,36,14,21,12
6/6/18,7,46,152,66,36,15,23,14
6/7/18,7,45,150,68,37,17,26,9
6/8/18,8,41,160,69,38,18,19,9
6/9/18,8,42,182,71,35,19,19,10
6/10/18,7,40,185,57,35,17,17,7
6/11/18,6,39,155,59,33,13,24,11
